text,category,urgency,base_template
Good day po. tumataas nang mabilis ang tubig sa creek malapit sa amin Sana matulungan niyo kami.,disaster,high,disaster_high_1
Mano po. may naaamoy na sunog pero di na makita kung saan galing,fire,average,fire_average_1
Mano po. may nakita kaming kahina-hinalang tao na umaakyat sa bakod ng kapitbahay Sana matulungan niyo kami.,peace_order,high,peace_order_high_1
Tulong po. may naaamoy na sunog pero di na makita kung saan galing Sana matulungan niyo kami.,fire,average,fire_average_1
"Hi po, unconscious po siya at hindi gumagalaw, kailangan ng ambulansya agad Sana matulungan niyo kami.",medical,critical,medical_critical_1
"Mano po. nagkaroon ng seizure at hindi na natitigan ang mata, kailangan ng ambulansya ngayon din Pakitingnan po agad.",medical,critical,medical_critical_5
Bar. pwede po ba mahingi ng gamot para sa ubo Salamat po.,medical,average,medical_average_0
Good day po. paano po mag-avail ng senior citizen discount sa gamot Sana matulungan niyo kami.,medical,low,medical_low_3
Bar. meron po bang dental mission dito sa amin Sana matulungan niyo kami.,medical,low,medical_low_2
Good day po. paano po mag-avail ng senior citizen discount sa gamot Salamat po.,medical,low,medical_low_3
"Mano po. malakas ang hangin at ulan, natatakot kami baka bumagsak ang puno Pakitingnan po agad.",disaster,high,disaster_high_0
"unconscious po siya at hindi gumagalaw, kailangan ng ambulansya agad Pakitingnan po agad.",medical,critical,medical_critical_1
Bar. kailan po ang schedule ng check-up sa barangay health center Sana matulungan niyo kami.,medical,low,medical_low_1
Bar. pwede po ba magpatulong sa usapin ng hangganan ng lupa namin,peace_order,low,peace_order_low_0
Tulong po. hirap huminga ang lola ko pero kumakausap pa naman,medical,high,medical_high_3
Bar. may taong may dalang baril at nananakot sa amin ngayon Sana matulungan niyo kami.,peace_order,critical,peace_order_critical_0
Mano po. paano po humingi ng fire extinguisher para sa aming sari-sari store Pakitingnan po agad.,fire,low,fire_low_1
Mano po. tanong lang po kung meron kayong fire safety seminar Sana matulungan niyo kami.,fire,low,fire_low_0
"Good day po. nagkaroon ng seizure at hindi na natitigan ang mata, kailangan ng ambulansya ngayon din Sana matulungan niyo kami.",medical,critical,medical_critical_5
"Bar. tulong po, hindi na humihinga ang lolo ko Sana matulungan niyo kami.",medical,critical,medical_critical_0
Bar. may holdaper na may hawak na patalim sa may tindahan,peace_order,critical,peace_order_critical_2
Mano po. may bumagsak na malaking puno malapit sa mga bahay,disaster,high,disaster_high_2
"gumuho po ang bahay dahil sa lindol, may nakulong sa loob Sana matulungan niyo kami.",disaster,critical,disaster_critical_1
sumasakit ng husto ang tiyan ng kapitbahay namin Pakitingnan po agad.,medical,high,medical_high_1
paano po mag-apply ng barangay clearance Pakitingnan po agad.,general_assistance,low,general_assistance_low_0
Bar. pwede po ba magpatulong sa usapin ng hangganan ng lupa namin Pakitingnan po agad.,peace_order,low,peace_order_low_0
Bar. meron po bang tulong pang-relief goods available ngayon,general_assistance,average,general_assistance_average_1
"Bar. may lagnat na mataas ang anak ko, sumusuka na rin Pakitingnan po agad.",medical,high,medical_high_0
"Hi po, paano po mag-apply ng barangay clearance Pakitingnan po agad.",general_assistance,low,general_assistance_low_0
"may nasusunog na bahay malapit sa amin, tumulong kayo agad Sana matulungan niyo kami.",fire,critical,fire_critical_1
"Tulong po. malakas na landslide sa likod ng bahay namin, natatakot kaming lumabas Salamat po.",disaster,critical,disaster_critical_3
"Mano po. tulong po, hindi na humihinga ang lolo ko Pakitingnan po agad.",medical,critical,medical_critical_0
"Good day po. unconscious po siya at hindi gumagalaw, kailangan ng ambulansya agad Sana matulungan niyo kami.",medical,critical,medical_critical_1
"Bar. nadapa ang matanda, parang nabali ang binti niya",medical,high,medical_high_2
Mano po. paano po mag-avail ng senior citizen discount sa gamot Pakitingnan po agad.,medical,low,medical_low_3
"Hi po, tanong ko lang kung may typhoon signal ba ngayon dito Salamat po.",disaster,low,disaster_low_0
"Good day po. may motor na naiwan sa kalye ng ilang araw na, baka nakaw Salamat po.",peace_order,average,peace_order_average_1
"Mano po. bumabaha na po nang husto dito, tumataas na ang tubig sa bahay namin Pakitingnan po agad.",disaster,critical,disaster_critical_0
